extended_equipment;Aircraft_Type
Aerospatiale 355N Ecureuil 2;Helicopter
Airbus A300B4-605R(F);Freighter
Airbus A300B4-622R(F);Freighter
Airbus A300F4-605R;Freighter
Airbus A300F4-622R;Freighter
Airbus A300F4-622R(F);Freighter
Airbus A310-308(F);Freighter
Airbus A318-112(CJ) Elite;Passenger
Airbus A319-112;Passenger
Airbus A319-114;Passenger
Airbus A319-115(CJ);Passenger
Airbus A319-132;Passenger
Airbus A319-133(CJ);Passenger
Airbus A320-211;Passenger
Airbus A320-214;Passenger
Airbus A320-232;Passenger
Airbus A320-251N;Passenger
Airbus A320-271N;Passenger
Airbus A321-131;Passenger
Airbus A321-211;Passenger
Airbus A321-211(P2F);Freighter
Airbus A321-211(PCF);Freighter
Airbus A321-231;Passenger
Airbus A321-271NX;Passenger
Airbus A330-202;Passenger
Airbus A330-203;Passenger
Airbus A330-223;Passenger
Airbus A330-223F;Freighter
Airbus A330-243F;Freighter
Airbus A330-302;Passenger
Airbus A330-303;Passenger
Airbus A330-322(F);Freighter
Airbus A330-343;Passenger
Airbus A330-343(P2F);Freighter
Airbus A340-313;Passenger
Airbus A340-642;Passenger
Airbus A350-1041;Passenger
Airbus A350-941;Passenger
Airbus A380-842;Passenger
Airbus A380-861;Passenger
Airbus Helicopters H120;Helicopter
Airbus Helicopters H125;Helicopter
Airbus Helicopters H135;Helicopter
Airbus Helicopters H145;Helicopter
Alenia C-27J Spartan;Military transport
Boeing 737 MAX 8;Passenger
Boeing 737 MAX 9;Passenger
Boeing 737-301(SF);Freighter
Boeing 737-33A(SF);Freighter
Boeing 737-35B(SF);Freighter
Boeing 737-3Y5(SF);Freighter
Boeing 737-406(SF);Freighter
Boeing 737-429(SF);Freighter
Boeing 737-43Q(SF);Freighter
Boeing 737-448(SF);Freighter
Boeing 737-46J(SF);Freighter
Boeing 737-476(SF);Freighter
Boeing 737-490(SF);Freighter
Boeing 737-49R(SF);Freighter
Boeing 737-4K5(SF);Freighter
Boeing 737-4Q3(SF);Freighter
Boeing 737-4Q8(SF);Freighter
Boeing 737-4Y0(BDSF);Freighter
Boeing 737-4Y0(SF);Freighter
Boeing 737-7K2(FC);Passenger
Boeing 737-846;Passenger
Boeing 737-85F(SF);Freighter
Boeing 737-86N;Passenger
Boeing 737-86N(SF);Freighter
Boeing 737-86Q;Passenger
Boeing 737-883(BDSF);Freighter
Boeing 737-8AL;Passenger
Boeing 737-8AS;Passenger
Boeing 737-8AS(BCF);Freighter
Boeing 737-8B5(BCF);Freighter
Boeing 737-8F2;Passenger
Boeing 737-8F2(BCF);Freighter
Boeing 737-8HC;Passenger
Boeing 737-8HX;Passenger
Boeing 737-8JP;Passenger
Boeing 737-8K2(SF);Freighter
Boeing 737-8KV;Passenger
Boeing 737-8Q8;Passenger
Boeing 737-9F2(ER);Passenger
Boeing 747-412(BCF);Freighter
Boeing 747-428F;Freighter
Boeing 747-428F(ER);Freighter
Boeing 747-430;Passenger
Boeing 747-44AF;Freighter
Boeing 747-45E(BCF);Freighter
Boeing 747-467F;Freighter
Boeing 747-46N(F);Freighter
Boeing 747-47U(F);Freighter
Boeing 747-481(BDSF);Freighter
Boeing 747-4EVF(ER);Freighter
Boeing 747-4HAF(ER);Freighter
Boeing 747-4HQF(ER);Freighter
Boeing 747-4R7F;Freighter
Boeing 747-830;Passenger
Boeing 747-83QF;Freighter
Boeing 747-87UF;Freighter
Boeing 747-8F;Freighter
Boeing 747-8R7F;Freighter
Boeing 757-204(PCF);Freighter
Boeing 757-204(SF);Freighter
Boeing 757-21B(SF);Freighter
Boeing 757-222(PCF);Freighter
Boeing 757-222(SF);Freighter
Boeing 757-223(PCF);Freighter
Boeing 757-225(SF);Freighter
Boeing 757-230(SF);Freighter
Boeing 757-231(SF);Freighter
Boeing 757-232(SF);Freighter
Boeing 757-236(PCF);Freighter
Boeing 757-236(SF);Freighter
Boeing 757-23A(SF);Freighter
Boeing 757-23APF;Freighter
Boeing 757-23N(PCF);Freighter
Boeing 757-23N(SF);Freighter
Boeing 757-24APF;Freighter
Boeing 757-256(PCF);Freighter
Boeing 757-258(SF);Freighter
Boeing 757-25C(PCF);Freighter
Boeing 757-25F(SF);Freighter
Boeing 757-26D(PCF);Freighter
Boeing 757-27A(PCF);Freighter
Boeing 757-27B(SF);Freighter
Boeing 757-28A(PCF);Freighter
Boeing 757-28A(SF);Freighter
Boeing 757-2B7(SF);Freighter
Boeing 757-2G5(SF);Freighter
Boeing 757-2Q8(PCF);Freighter
Boeing 757-2Q8(SF);Freighter
Boeing 757-2S7(SF);Freighter
Boeing 757-2T7(SF);Freighter
Boeing 757-2Y0(SF);Freighter
Boeing 767-204(BDSF);Freighter
Boeing 767-219(BDSF);Freighter
Boeing 767-232(BDSF);Freighter
Boeing 767-25E(BDSF);Freighter
Boeing 767-281(BDSF);Freighter
Boeing 767-300F;Freighter
Boeing 767-300F(ER);Freighter
Boeing 767-304(ER)(BCF);Freighter
Boeing 767-304(ER)(BDSF);Freighter
Boeing 767-316(ER)(BDSF);Freighter
Boeing 767-323(ER)(BCF);Freighter
Boeing 767-323(ER)(BDSF);Freighter
Boeing 767-32LF;Freighter
Boeing 767-346(ER)(BCF);Freighter
Boeing 767-34AF(ER);Freighter
Boeing 767-36N(ER)(BDSF);Freighter
Boeing 767-381(ER)(BCF);Freighter
Boeing 767-3JHF(ER);Freighter
Boeing 767-3Q8(ER)(BDSF);Freighter
Boeing 767-3S2F;Freighter
Boeing 777-21H(LR);Passenger
Boeing 777-2DZ(LR);Passenger
Boeing 777-300(ER);Passenger
Boeing 777-31H(ER);Passenger
Boeing 777-367(ER);Passenger
Boeing 777-36N(ER);Passenger
Boeing 777-3DZ(ER);Passenger
Boeing 777-3F2(ER);Passenger
Boeing 777-3U8(ER);Passenger
Boeing 777-F;Freighter
Boeing 777-F1H;Freighter
Boeing 777-F28;Freighter
Boeing 777-FBT;Freighter
Boeing 777-FDZ;Freighter
Boeing 777-FF2;Freighter
